78,哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,导演 : 克里斯·哥伦布,8.8,361562,2002-01-26, 美国 / 英国, 英语,奇幻 冒险
79,蝴蝶效应 The Butterfly Effect,导演 : 埃里克·布雷斯 J·麦基·格鲁伯,8.7,468571,2004-01-23, 美国 / 加拿大, 英语,剧情 科幻 悬疑 惊悚
80,春光乍泄 春光乍洩,导演 : 王家卫,8.9,308693,1997-05-17, 香港 / 日本 / 韩国, 粤语 / 汉语普通话 / 西班牙语,剧情 爱情 同性
81,心灵捕手 Good Will Hunting,导演 : 格斯·范·桑特,8.8,340397,1997-12-05, 美国, 英语,剧情
82,入殓师 おくりびと,导演 : 泷田洋二郎,8.8,365068,2008-09-13, 日本, 日语,剧情
83,猫鼠游戏 Catch Me If You Can,导演 : 史蒂文·斯皮尔伯格,8.8,309401,2002-12-16, 美国 / 加拿大, 英语 / 法语,剧情 传记 犯罪
84,布达佩斯大饭店 The Grand Budapest Hotel,导演 : 韦斯·安德森,8.8,410135,2014-02-06, 美国 / 德国 / 英国, 英语 / 法语 / 德语,剧情 喜剧 冒险
85,禁闭岛 Shutter Island,导演 : 马丁·斯科塞斯,8.7,450409,2010-02-13, 美国, 英语 / 德语,剧情 悬疑 惊悚
86,玛丽和马克思 Mary and Max,导演 : 亚当·艾略特,8.9,264676,2009-01-15, 澳大利亚, 英语 / 依地语,剧情 动画
87,阳光灿烂的日子,导演 : 姜文,8.8,333000,1995-08-21, 中国大陆 / 香港, 汉语普通话,剧情
88,幽灵公主 もののけ姫,导演 : 宫崎骏,8.8,285874,1997-07-12, 日本, 日语,动画 奇幻 冒险
89,第六感 The Sixth Sense,导演 : M·奈特·沙马兰,8.8,284780,1999-08-06, 美国, 英语 / 拉丁语 / 西班牙语,剧情 悬疑 惊悚
90,重庆森林 重慶森林,导演 : 王家卫,8.7,405932,1994-07-14, 香港, 粤语 / 汉语普通话 / 英语 / 印地语 / 日语,剧情 爱情
91,狩猎 Jagten,导演 : 托马斯·温特伯格,9.1,168380,2012-05-20, 丹麦 / 瑞典, 丹麦语 / 英语 / 波兰语,剧情
92,穿条纹睡衣的男孩 The Boy in the Striped Pajamas,导演 : 马克·赫尔曼,9.0,198832,2008-09-12, 英国 / 美国, 英语,剧情 战争
93,致命ID Identity,导演 : 詹姆斯·曼高德,8.7,392039,2003-04-25, 美国, 英语,剧情 悬疑 惊悚
94,断背山 Brokeback Mountain,导演 : 李安,8.7,389702,2005-09-02, 美国 / 加拿大, 英语,剧情 爱情 同性 家庭
95,加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl,导演 : 戈尔·维宾斯基,8.6,434149,2003-11-21, 美国, 英语,动作 奇幻 冒险
96,阿凡达 Avatar,导演 : 詹姆斯·卡梅隆,8.6,650259,2010-01-04, 美国 / 英国, 英语 / 西班牙语,动作 科幻 战争 冒险
97,摩登时代 Modern Times,导演 : 查理·卓别林,9.2,117998,1936-02-25, 美国, 英语,剧情 喜剧 爱情
98,大鱼 Big Fish,导演 : 蒂姆·波顿,8.7,303989,2003-12-04, 美国, 英语 / 法语 / 俄语 / 粤语 / 汉语普通话,剧情 家庭 奇幻 冒险
99,告白,导演 : 中岛哲也,8.7,411732,2010-06-05, 日本, 日语,剧情 惊悚
100,一一,导演 : 杨德昌,9.0,185699,2000-05-14, 台湾 / 日本, 汉语普通话 / 闽南语 / 英语 / 日语,剧情 爱情 家庭
101,射雕英雄传之东成西就 射鵰英雄傳之東成西就,导演 : 刘镇伟,8.7,331642,1993-02-05, 香港, 粤语,喜剧 古装
102,甜蜜蜜,导演 : 陈可辛,8.8,272341,2015-02-13, 香港, 粤语 / 汉语普通话 / 英语,剧情 爱情
103,阳光姐妹淘 써니,导演 : 姜炯哲,8.8,326806,2011-05-04, 韩国, 韩语,剧情 喜剧
